country,latest
Afghanistan,299
Albania,333
Algeria,1251
Andorra,466
Angola,10
Antigua and Barbuda,15
Argentina,1451
Armenia,770
Australia,93
Australia,2493
Australia,26
Australia,900
Australia,407
Australia,80
Australia,1115
Australia,436
Austria,11781
Azerbaijan,521
Bahamas,28
Bahrain,688
Bangladesh,70
Barbados,52
Belarus,440
Belgium,18431
Benin,16
Bhutan,5
Bolivia,139
Bosnia and Herzegovina,624
Brazil,10360
Brunei,135
Bulgaria,503
Burkina Faso,318
Cabo Verde,7
Cambodia,114
Cameroon,555
Canada,1075
Canada,1203
Canada,13
Canada,182
Canada,91
Canada,195
Canada,236
Canada,3630
Canada,22
Canada,6101
Canada,220
Central African Republic,8
Chad,9
Chile,4161
China,990
China,585
China,579
China,350
China,138
China,1516
China,254
China,146
China,168
China,326
China,491
China,1276
China,862
China,67803
China,1019
China,117
China,651
China,937
China,98
China,141
China,43
China,75
China,18
China,256
China,778
China,529
China,137
China,557
China,180
China,1
China,76
China,184
China,1262
Colombia,1406
Congo (Brazzaville),22
Congo (Kinshasa),154
Costa Rica,435
Cote d'Ivoire,245
Croatia,1126
Diamond Princess,712
Cuba,288
Cyprus,426
Czechia,4472
Denmark,181
Denmark,11
Denmark,4077
Djibouti,50
Dominican Republic,1488
Ecuador,3465
Egypt,1070
El Salvador,56
Equatorial Guinea,16
Eritrea,29
Estonia,1039
Eswatini,9
Ethiopia,38
Fiji,12
Finland,1882
France,61
France,40
France,134
France,134
France,17
France,334
France,6
France,24
France,145
France,89953
Gabon,21
Gambia,4
Georgia,162
Germany,96092
Ghana,205
Greece,1673
Guatemala,61
Guinea,111
Guyana,23
Haiti,20
Holy See,7
Honduras,264
Hungary,678
Iceland,1417
India,3082
Indonesia,2092
Iran,55743
Iraq,878
Ireland,4604
Israel,7851
Italy,124632
Jamaica,53
Japan,3139
Jordan,323
Kazakhstan,531
Kenya,126
"Korea, South",10156
Kuwait,479
Kyrgyzstan,144
Latvia,509
Lebanon,520
Liberia,10
Liechtenstein,77
Lithuania,771
Luxembourg,2729
Madagascar,70
Malaysia,3483
Maldives,19
Malta,213
Mauritania,6
Mauritius,196
Mexico,1688
Moldova,752
Monaco,66
Mongolia,14
Montenegro,201
Morocco,919
Namibia,14
Nepal,9
Netherlands,64
Netherlands,11
Netherlands,23
Netherlands,16627
New Zealand,950
Nicaragua,5
Niger,144
Nigeria,214
North Macedonia,483
Norway,5550
Oman,277
Pakistan,2818
Panama,1673
Papua New Guinea,1
Paraguay,96
Peru,1746
Philippines,3094
Poland,3627
Portugal,10524
Qatar,1325
Romania,3613
Russia,4731
Rwanda,102
Saint Lucia,14
Saint Vincent and the Grenadines,7
San Marino,259
Saudi Arabia,2179
Senegal,219
Serbia,1624
Seychelles,10
Singapore,1189
Slovakia,471
Slovenia,977
Somalia,7
South Africa,1585
Spain,126168
Sri Lanka,166
Sudan,10
Suriname,10
Sweden,6443
Switzerland,20505
Taiwan*,355
Tanzania,20
Thailand,2067
Togo,41
Trinidad and Tobago,103
Tunisia,553
Turkey,23934
Uganda,48
Ukraine,1225
United Arab Emirates,1505
United Kingdom,35
United Kingdom,35
United Kingdom,262
United Kingdom,98
United Kingdom,126
United Kingdom,6
United Kingdom,41903
Uruguay,400
US,308850
Uzbekistan,266
Venezuela,155
Vietnam,240
Zambia,39
Zimbabwe,9
Canada,0
Dominica,14
Grenada,12
Mozambique,10
Syria,16
Timor-Leste,1
Belize,4
Canada,0
Laos,10
Libya,18
West Bank and Gaza,217
Guinea-Bissau,18
Mali,41
Saint Kitts and Nevis,9
Canada,4
Canada,6
Kosovo,135
Burma,21
United Kingdom,3
United Kingdom,3
United Kingdom,5
MS Zaandam,9
Botswana,4
Burundi,3
Sierra Leone,4
Netherlands,2
Malawi,4
United Kingdom,1
